Assembly Accession,Assembly Name,Organism Name,Organism Infraspecific Names Strain,Organism Infraspecific Names Isolate,Annotation Name,Assembly Level,Assembly Release Date,WGS project accession,Assembly Stats Number of Scaffolds
GCF_024807495.1,ASM2480749v1,Acinetobacter johnsonii,BIGb0494,,GCF_024807495.1-RS_2024_09_16,Contig,31/08/2022,JANUEV01,29
GCF_031157845.1,ASM3115784v1,Acinetobacter johnsonii,C-RB-39,,GCF_031157845.1-RS_2024_09_05,Scaffold,05/09/2023,JAVIDO01,76
GCF_033023695.1,ASM3302369v1,Acinetobacter johnsonii,C4,,GCF_033023695.1-RS_2024_10_27,Scaffold,24/10/2023,JAVQMB01,92
GCF_900162715.1,ASM90016271v1,Acinetobacter johnsonii,,C6,GCF_900162715.1-RS_2024_12_25,Contig,16/02/2017,FUUY01,26
GCF_000368045.1,Acin_john_CIP_64_6_V1,Acinetobacter johnsonii CIP 64.6,CIP 64.6,,GCF_000368045.1-RS_2024_12_22,Scaffold,19/04/2013,APON01,11
GCF_020162195.1,ASM2016219v1,Acinetobacter johnsonii,CSUSB1,,GCF_020162195.1-RS_2025_01_09,Complete Genome,28/09/2021,,3
GCF_021432745.1,ASM2143274v1,Acinetobacter johnsonii,DJ-Red,,GCF_021432745.1-RS_2025_04_30,Complete Genome,11/01/2022,,2
GCF_000949655.1,ASM94965v1,Acinetobacter johnsonii,DSMZ 6963,,GCF_000949655.1-RS_2024_08_09,Contig,19/02/2015,BBTB01,123
GCF_015602645.1,ASM1560264v1,Acinetobacter johnsonii,E10B,,GCF_015602645.1-RS_2024_11_28,Complete Genome,19/11/2020,,1
GCF_046763905.1,ASM4676390v1,Acinetobacter johnsonii,E154408A,,GCF_046763905.1-RS_2025_01_19,Contig,18/01/2025,JBKOHL01,261
GCF_025717035.1,ASM2571703v1,Acinetobacter johnsonii,F,,GCF_025717035.1-RS_2024_11_06,Contig,16/10/2022,JAOWAJ01,112
GCF_034555415.1,ASM3455541v1,Acinetobacter johnsonii,FAHZZU3110hy,,GCF_034555415.1-RS_2025_03_03,Complete Genome,24/12/2023,,5
GCF_034555395.1,ASM3455539v1,Acinetobacter johnsonii,FAHZZU3567hy,,GCF_034555395.1-RS_2025_03_03,Complete Genome,24/12/2023,,7
GCF_016728805.1,ASM1672880v1,Acinetobacter johnsonii,FDAARGOS_1092,,GCF_016728805.1-RS_2024_12_02,Complete Genome,20/01/2021,,9
GCF_016725945.1,ASM1672594v1,Acinetobacter johnsonii,FDAARGOS_1093,,GCF_016725945.1-RS_2024_12_02,Complete Genome,20/01/2021,,7
GCF_016726625.1,ASM1672662v1,Acinetobacter johnsonii,FDAARGOS_1094,,GCF_016726625.1-RS_2024_12_02,Complete Genome,20/01/2021,,10
GCF_016027055.1,ASM1602705v1,Acinetobacter johnsonii,FDAARGOS_910,,GCF_016027055.1-RS_2024_11_28,Complete Genome,14/12/2020,,4
GCF_029845205.1,ASM2984520v1,Acinetobacter johnsonii,GD03649,,GCF_029845205.1-RS_2025_04_19,Contig,19/04/2023,JAOCLH01,115
GCF_029845145.1,ASM2984514v1,Acinetobacter johnsonii,GD03652,,GCF_029845145.1-RS_2025_04_19,Contig,19/04/2023,JAOCLE01,126
GCF_029844685.1,ASM2984468v1,Acinetobacter johnsonii,GD03675,,GCF_029844685.1-RS_2025_04_19,Contig,19/04/2023,JAOCKH01,254
GCF_029843655.1,ASM2984365v1,Acinetobacter johnsonii,GD03717,,GCF_029843655.1-RS_2025_04_19,Contig,19/04/2023,JAOCIS01,5
GCF_029843525.1,ASM2984352v1,Acinetobacter johnsonii,GD03725,,GCF_029843525.1-RS_2024_05_31,Contig,19/04/2023,JAOCIL01,7
GCF_029843465.1,ASM2984346v1,Acinetobacter johnsonii,GD03727,,GCF_029843465.1-RS_2024_05_31,Contig,19/04/2023,JAOCIJ01,101
GCF_029843265.1,ASM2984326v1,Acinetobacter johnsonii,GD03738,,GCF_029843265.1-RS_2025_04_19,Contig,19/04/2023,JAOCHY01,5
GCF_029843005.1,ASM2984300v1,Acinetobacter johnsonii,GD03750,,GCF_029843005.1-RS_2024_05_31,Contig,19/04/2023,JAOCHM01,114
GCF_029842835.1,ASM2984283v1,Acinetobacter johnsonii,GD03757,,GCF_029842835.1-RS_2025_04_19,Contig,19/04/2023,JAOCHF01,91
GCF_029842825.1,ASM2984282v1,Acinetobacter johnsonii,GD03760,,GCF_029842825.1-RS_2024_05_31,Contig,19/04/2023,JAOCHC01,82
GCF_029842765.1,ASM2984276v1,Acinetobacter johnsonii,GD03761,,GCF_029842765.1-RS_2024_05_31,Contig,19/04/2023,JAOCHB01,66
GCF_029842705.1,ASM2984270v1,Acinetobacter johnsonii,GD03768,,GCF_029842705.1-RS_2025_04_19,Contig,19/04/2023,JAOCGU01,85
GCF_029842585.1,ASM2984258v1,Acinetobacter johnsonii,GD03770,,GCF_029842585.1-RS_2024_05_31,Contig,19/04/2023,JAOCGS01,110
GCF_029841675.1,ASM2984167v1,Acinetobacter johnsonii,GD03818,,GCF_029841675.1-RS_2024_05_31,Contig,19/04/2023,JAOCEX01,124
GCF_029841405.1,ASM2984140v1,Acinetobacter johnsonii,GD03833,,GCF_029841405.1-RS_2024_05_31,Contig,19/04/2023,JAOCEJ01,90
GCF_029841175.1,ASM2984117v1,Acinetobacter johnsonii,GD03844,,GCF_029841175.1-RS_2025_04_19,Contig,19/04/2023,JAOCDY01,117
GCF_029841075.1,ASM2984107v1,Acinetobacter johnsonii,GD03851,,GCF_029841075.1-RS_2025_04_19,Contig,19/04/2023,JAOCDR01,160
GCF_029840405.1,ASM2984040v1,Acinetobacter johnsonii,GD03884,,GCF_029840405.1-RS_2024_05_31,Contig,19/04/2023,JAOCCM01,110
GCF_029840425.1,ASM2984042v1,Acinetobacter johnsonii,GD03885,,GCF_029840425.1-RS_2025_04_19,Contig,19/04/2023,JAOCCL01,139
GCF_029840305.1,ASM2984030v1,Acinetobacter johnsonii,GD03888,,GCF_029840305.1-RS_2024_05_31,Contig,19/04/2023,JAOCCI01,148
GCF_029839745.1,ASM2983974v1,Acinetobacter johnsonii,GD03920,,GCF_029839745.1-RS_2025_04_19,Contig,19/04/2023,JAOCBE01,6
GCF_029839405.1,ASM2983940v1,Acinetobacter johnsonii,GD03938,,GCF_029839405.1-RS_2024_05_31,Contig,19/04/2023,JAOCAN01,77
GCF_029839085.1,ASM2983908v1,Acinetobacter johnsonii,GD03955,,GCF_029839085.1-RS_2024_05_31,Contig,19/04/2023,JAOBZW01,80
GCF_029838425.1,ASM2983842v1,Acinetobacter johnsonii,GD03987,,GCF_029838425.1-RS_2024_08_07,Contig,19/04/2023,JAOBYQ01,126
GCF_029836775.1,ASM2983677v1,Acinetobacter johnsonii,GD04060,,GCF_029836775.1-RS_2024_05_31,Contig,19/04/2023,JAOECL01,144
GCF_029836695.1,ASM2983669v1,Acinetobacter johnsonii,GD04065,,GCF_029836695.1-RS_2024_05_30,Contig,19/04/2023,JAOECG01,91
GCF_034424475.1,ASM3442447v1,Acinetobacter johnsonii,HAMBI_0097,,GCF_034424475.1-RS_2025_01_23,Complete Genome,17/12/2023,,3
GCF_003350215.1,ASM335021v1,Acinetobacter johnsonii,HAMBI_97,,GCF_003350215.1-RS_2025_01_02,Scaffold,31/07/2018,QLLE01,157
GCF_037151875.1,ASM3715187v1,Acinetobacter johnsonii,HN020,,GCF_037151875.1-RS_2025_03_14,Contig,14/03/2024,JBBCNH01,28
GCF_035730665.1,ASM3573066v1,Acinetobacter johnsonii,HNAS0100,,GCF_035730665.1-RS_2025_01_16,Contig,17/01/2024,JAUDPR01,75
GCF_003952785.1,ASM395278v1,Acinetobacter johnsonii,IC001,,GCF_003952785.1-RS_2025_01_02,Complete Genome,18/12/2018,,5
GCA_023822225.1,ASM2382222v1,Acinetobacter johnsonii,ICE_NC,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Complete Genome,21/06/2022,,2
GCF_009823385.1,ASM982338v1,Acinetobacter johnsonii,JH7,,GCF_009823385.1-RS_2025_01_02,Scaffold,31/12/2019,VYQG01,78
GCF_003335165.1,ASM333516v1,Acinetobacter johnsonii,LXL_C1,,GCF_003335165.1-RS_2025_01_02,Complete Genome,22/07/2018,,1
GCF_004337595.1,ASM433759v1,Acinetobacter johnsonii,M19,,GCF_004337595.1-RS_2025_01_02,Complete Genome,11/03/2019,,2
GCF_001483265.1,ASM148326v1,Acinetobacter johnsonii,MB44,,GCF_001483265.1-RS_2024_11_26,Contig,29/12/2015,LBMO01,75
GCA_028614115.1,ASM2861411v1,Acinetobacter johnsonii,mNGS2101_37,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,13/02/2023,JAQAJC01,3
GCA_028614535.1,ASM2861453v1,Acinetobacter johnsonii,mNGS2101_14,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Contig,13/02/2023,JAQAIJ01,5
GCF_037479255.1,ASM3747925v1,Acinetobacter johnsonii,MYb158,,GCF_037479255.1-RS_2025_04_06,Contig,23/03/2024,JBBGZJ01,23
GCF_007989645.1,ASM798964v1,Acinetobacter johnsonii,NBRC 102197,,GCF_007989645.1-RS_2024_09_09,Contig,01/08/2019,BJUJ01,216
GCF_900444855.1,46338_D01,Acinetobacter johnsonii,NCTC10308,,GCF_900444855.1-RS_2025_01_07,Contig,08/08/2018,UFRV01,6
GCF_030325455.1,ASM3032545v1,Acinetobacter johnsonii,R960,,GCF_030325455.1-RS_2024_07_01,Scaffold,22/06/2023,JACAIK01,78
GCF_021735885.1,ASM2173588v1,Acinetobacter johnsonii,RB2-047,,GCF_021735885.1-RS_2024_08_06,Scaffold,31/01/2022,JADDYQ01,470
GCF_014204355.1,ASM1420435v1,Acinetobacter johnsonii,S00116,,GCF_014204355.1-RS_2024_09_27,Scaffold,14/08/2020,JACHKX01,39
GCF_032841755.1,ASM3284175v1,Acinetobacter johnsonii,SAAj643,,GCF_032841755.1-RS_2024_10_25,Contig,18/10/2023,JASVDX01,178
GCF_000162055.1,ASM16205v1,Acinetobacter johnsonii SH046,SH046,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),Scaffold,02/11/2009,ACPL01,47
GCF_000301735.1,ASM30173v1,Acinetobacter johnsonii TG19605,TG19605,,GCF_000301735.1-RS_2024_05_27,Contig,02/10/2012,AMJD01,186
GCF_000302335.1,ASM30233v1,Acinetobacter johnsonii TG19625,TG19625,,GCF_000302335.1-RS_2025_05_20,Contig,02/10/2012,AMJE01,111
GCF_009012975.1,ASM901297v1,Acinetobacter johnsonii,TUM15505,,GCF_009012975.1-RS_2024_09_09,Contig,20/09/2019,BKWH01,246
GCF_009789205.1,ASM978920v1,Acinetobacter johnsonii,UCO-489,,GCF_009789205.1-RS_2024_07_11,Contig,21/12/2019,WSRY01,172
GCF_027675825.1,ASM2767582v1,Acinetobacter johnsonii,UN03-31,,GCF_027675825.1-RS_2024_08_05,Scaffold,12/01/2023,JAQEPK01,116
GCF_004211815.1,ASM421181v1,Acinetobacter johnsonii,WCHAJo010049,,GCF_004211815.1-RS_2025_01_02,Contig,19/02/2019,SGVZ01,204
GCF_025513415.1,ASM2551341v1,Acinetobacter johnsonii,WU_MDCI_Aj40,,GCF_025513415.1-RS_2024_08_04,Contig,30/09/2022,JAHPQJ01,151
GCF_001484935.1,ASM148493v1,Acinetobacter johnsonii XBB1,XBB1,,GCF_001484935.1-RS_2024_12_24,Complete Genome,05/01/2016,,9
GCF_017068175.1,ASM1706817v1,Acinetobacter johnsonii,XY27,,GCF_017068175.1-RS_2025_01_02,Complete Genome,28/02/2021,,4
